transaction_id,customer_id,merchant_id,amount,transaction_time,is_fraudulent,card_type,location,purchase_category,customer_age,transaction_description
76,1026,2537,6713.73,2023-07-30 19:31:00,0,Visa,Boston,Grocery Store,69,Purchase at Merchant-2537
77,1252,2270,4895.55,2023-04-05 19:32:00,0,Discover,Los Angeles,Grocery Store,65,Purchase at Merchant-2270
78,1879,2870,5437.69,2023-05-10 02:05:00,0,Discover,Chicago,Gas Station,57,Purchase at Merchant-2870
79,1045,2965,9956.64,2023-01-14 23:18:00,0,Amex,New York,Restaurant,50,Purchase at Merchant-2965
80,1404,2506,8351.13,2023-11-15 11:45:00,0,Discover,Boston,Gas Station,36,Purchase at Merchant-2506
81,1374,2911,7308.87,2023-02-03 18:09:00,0,Amex,San Francisco,Restaurant,28,Purchase at Merchant-2911
82,1954,2560,8311.49,2023-08-15 23:44:00,0,Discover,New York,Pharmacy,68,Purchase at Merchant-2560
83,1317,2062,5434.13,2023-09-06 06:33:00,0,Discover,Boston,Restaurant,67,Purchase at Merchant-2062
84,1388,2895,382.33,2023-01-18 02:07:00,0,Discover,San Francisco,Online Shopping,22,Purchase at Merchant-2895
85,1064,2220,7248.35,2023-04-21 00:32:00,0,Discover,San Francisco,Online Shopping,75,Purchase at Merchant-2220
86,1911,2112,427.59,2023-05-20 10:45:00,0,Visa,Los Angeles,Gas Station,42,Purchase at Merchant-2112
87,1837,2853,1118.15,2023-06-16 03:44:00,0,Visa,New York,Grocery Store,41,Purchase at Merchant-2853
88,1550,2913,2757.22,2023-08-06 16:18:00,0,Amex,San Francisco,Restaurant,54,Purchase at Merchant-2913
89,1167,2588,5702.6,2023-05-16 11:34:00,0,MasterCard,Los Angeles,Online Shopping,19,Purchase at Merchant-2588
90,1127,2006,9699.26,2023-04-22 16:55:00,0,MasterCard,Boston,Grocery Store,24,Purchase at Merchant-2006
91,1625,2726,7134.77,2023-12-11 10:47:00,0,Amex,New York,Restaurant,32,Purchase at Merchant-2726
92,1260,2191,8568.95,2023-08-27 18:55:00,0,Amex,Boston,Grocery Store,41,Purchase at Merchant-2191
93,1608,2023,2954.6,2023-12-13 23:06:00,0,Discover,Chicago,Online Shopping,61,Purchase at Merchant-2023
94,1192,2758,2662.74,2023-04-03 12:07:00,0,Discover,San Francisco,Pharmacy,26,Purchase at Merchant-2758
95,1479,2756,7418.72,2023-05-08 09:04:00,0,MasterCard,Boston,Restaurant,61,Purchase at Merchant-2756
96,1330,2363,7305.56,2023-01-29 16:16:00,0,Amex,New York,Gas Station,21,Purchase at Merchant-2363
97,1923,2196,4732.4,2023-09-05 16:46:00,0,Visa,San Francisco,Restaurant,24,Purchase at Merchant-2196
98,1644,2278,7508.51,2023-04-15 17:27:00,0,Discover,New York,Pharmacy,38,Purchase at Merchant-2278
99,1562,2595,4928.98,2023-10-10 22:27:00,0,MasterCard,Los Angeles,Online Shopping,69,Purchase at Merchant-2595
100,1547,2017,5187.89,2023-05-19 18:41:00,0,Amex,Los Angeles,Restaurant,23,Purchase at Merchant-2017
101,1676,2016,5419.32,2023-01-26 18:53:00,0,MasterCard,New York,Pharmacy,64,Purchase at Merchant-2016
102,1723,2407,1887.32,2023-02-10 15:39:00,0,Visa,Boston,Gas Station,72,Purchase at Merchant-2407
103,1821,2481,3003.21,2023-11-06 19:06:00,0,Visa,New York,Restaurant,35,Purchase at Merchant-2481
104,1764,2550,2926.3,2023-12-23 19:01:00,0,Amex,New York,Online Shopping,68,Purchase at Merchant-2550
105,1029,2463,8766.12,2023-07-05 22:53:00,0,Visa,New York,Online Shopping,74,Purchase at Merchant-2463
106,1442,2478,745.1,2023-01-11 09:44:00,0,MasterCard,Boston,Restaurant,65,Purchase at Merchant-2478
107,1955,2697,4407.56,2023-03-21 04:13:00,0,Discover,New York,Grocery Store,72,Purchase at Merchant-2697
108,1202,2456,3793.48,2023-04-02 15:11:00,0,Amex,Boston,Gas Station,53,Purchase at Merchant-2456
109,1214,2070,3800.65,2023-01-12 02:21:00,0,Visa,New York,Grocery Store,33,Purchase at Merchant-2070
110,1420,2109,2904.95,2023-06-07 10:45:00,0,Discover,New York,Pharmacy,42,Purchase at Merchant-2109
111,1382,2419,7923.64,2023-11-20 01:31:00,0,Visa,New York,Pharmacy,60,Purchase at Merchant-2419
112,1659,2622,331.28,2023-05-06 16:28:00,0,MasterCard,San Francisco,Restaurant,42,Purchase at Merchant-2622
113,1462,2098,3590.06,2023-08-05 19:24:00,0,Visa,Boston,Restaurant,56,Purchase at Merchant-2098
114,1127,2307,7113.31,2023-05-27 13:26:00,0,Discover,Chicago,Pharmacy,56,Purchase at Merchant-2307
115,1921,2209,1065.61,2023-12-22 04:58:00,0,MasterCard,San Francisco,Restaurant,73,Purchase at Merchant-2209
116,1935,2504,7989.78,2023-11-02 06:31:00,0,Discover,Los Angeles,Grocery Store,51,Purchase at Merchant-2504
117,1420,2264,347.79,2023-12-20 21:18:00,0,Amex,Boston,Online Shopping,44,Purchase at Merchant-2264
118,1677,2393,9940.05,2023-09-05 11:21:00,0,Visa,Los Angeles,Online Shopping,34,Purchase at Merchant-2393
119,1733,2715,73.42,2023-02-11 17:32:00,0,Amex,San Francisco,Pharmacy,31,Purchase at Merchant-2715
120,1754,2479,3579.6,2023-03-30 20:34:00,0,Discover,New York,Grocery Store,35,Purchase at Merchant-2479
121,1711,2527,4077.35,2023-10-08 23:16:00,0,Amex,Los Angeles,Restaurant,35,Purchase at Merchant-2527
122,1127,2870,5779.62,2023-03-19 06:50:00,0,MasterCard,New York,Gas Station,68,Purchase at Merchant-2870
123,1002,2198,8455.19,2023-10-28 14:27:00,0,Discover,Los Angeles,Pharmacy,71,Purchase at Merchant-2198
124,1067,2904,434.47,2023-08-12 17:24:00,0,MasterCard,Boston,Pharmacy,46,Purchase at Merchant-2904
125,1913,2462,8323.62,2023-09-08 16:29:00,0,Visa,San Francisco,Gas Station,75,Purchase at Merchant-2462
126,1653,2611,5586.98,2023-02-22 10:15:00,0,Discover,Chicago,Pharmacy,45,Purchase at Merchant-2611
127,1730,2205,3554.48,2023-01-27 11:18:00,0,MasterCard,Chicago,Grocery Store,72,Purchase at Merchant-2205
128,1265,2446,6068.22,2023-09-30 16:10:00,0,Amex,San Francisco,Online Shopping,64,Purchase at Merchant-2446
129,1840,2732,2115.19,2023-03-07 12:33:00,0,Visa,New York,Online Shopping,57,Purchase at Merchant-2732
130,1762,2874,2494.56,2023-09-19 01:16:00,0,MasterCard,Los Angeles,Gas Station,44,Purchase at Merchant-2874
131,1024,2949,7791.38,2023-05-18 00:27:00,0,MasterCard,Los Angeles,Grocery Store,32,Purchase at Merchant-2949
132,1564,2449,7660.94,2023-04-29 18:50:00,0,Visa,Chicago,Grocery Store,32,Purchase at Merchant-2449
133,1669,2144,8439.63,2023-02-15 21:39:00,0,Amex,Chicago,Restaurant,59,Purchase at Merchant-2144
134,1394,2414,234.54,2023-07-25 08:35:00,0,Amex,San Francisco,Restaurant,39,Purchase at Merchant-2414
135,1737,2005,7123.83,2023-11-26 13:52:00,0,MasterCard,New York,Grocery Store,33,Purchase at Merchant-2005
136,1053,2098,7495.54,2023-08-19 04:28:00,0,Discover,New York,Restaurant,25,Purchase at Merchant-2098
137,1048,2843,4600.93,2023-08-20 03:34:00,0,Discover,San Francisco,Grocery Store,40,Purchase at Merchant-2843
138,1901,2752,3959.27,2023-12-29 09:03:00,0,MasterCard,New York,Online Shopping,24,Purchase at Merchant-2752
139,1934,2794,2240.91,2023-08-18 11:36:00,0,Amex,San Francisco,Grocery Store,20,Purchase at Merchant-2794
140,1051,2115,3479.91,2023-03-06 04:19:00,0,MasterCard,Chicago,Gas Station,38,Purchase at Merchant-2115
141,1768,2968,4597.0,2023-04-24 19:36:00,0,Visa,Boston,Online Shopping,61,Purchase at Merchant-2968
142,1045,2567,3762.89,2023-12-26 13:06:00,0,Amex,San Francisco,Grocery Store,72,Purchase at Merchant-2567
143,1065,2540,6216.86,2023-12-09 00:09:00,0,Amex,Boston,Online Shopping,68,Purchase at Merchant-2540
144,1387,2182,6131.18,2023-11-01 13:54:00,0,Discover,San Francisco,Pharmacy,67,Purchase at Merchant-2182
145,1431,2990,8602.83,2023-05-24 22:34:00,0,MasterCard,New York,Grocery Store,47,Purchase at Merchant-2990
146,1325,2462,9911.71,2023-04-06 14:58:00,0,Amex,Chicago,Online Shopping,35,Purchase at Merchant-2462
147,1737,2043,2373.21,2023-09-01 09:09:00,0,Discover,Boston,Restaurant,75,Purchase at Merchant-2043
148,1111,2088,6214.56,2023-12-29 14:23:00,0,Amex,New York,Grocery Store,55,Purchase at Merchant-2088
149,1372,2326,6868.41,2023-05-01 00:56:00,0,MasterCard,New York,Gas Station,70,Purchase at Merchant-2326
150,1632,2465,4698.71,2023-04-18 14:57:00,0,MasterCard,San Francisco,Online Shopping,57,Purchase at Merchant-2465
151,1695,2842,1851.17,2023-04-03 05:02:00,0,Discover,New York,Grocery Store,73,Purchase at Merchant-2842
152,1887,2992,6770.09,2023-12-04 08:15:00,0,Amex,Chicago,Grocery Store,65,Purchase at Merchant-2992
153,1950,2264,5942.73,2023-09-25 11:54:00,0,Discover,Los Angeles,Grocery Store,36,Purchase at Merchant-2264
154,1520,2595,6782.87,2023-06-09 03:06:00,0,Amex,Los Angeles,Online Shopping,61,Purchase at Merchant-2595
155,1948,2452,1555.21,2023-07-18 20:51:00,0,MasterCard,Boston,Pharmacy,29,Purchase at Merchant-2452
156,1291,2854,8381.01,2023-02-02 19:26:00,0,MasterCard,Los Angeles,Pharmacy,25,Purchase at Merchant-2854
157,1962,2038,6633.44,2023-01-25 13:03:00,0,MasterCard,San Francisco,Online Shopping,50,Purchase at Merchant-2038
158,1602,2536,7156.05,2023-10-21 17:54:00,0,Discover,Los Angeles,Online Shopping,32,Purchase at Merchant-2536
159,1625,2483,7021.32,2023-11-20 10:17:00,0,Visa,Chicago,Online Shopping,63,Purchase at Merchant-2483
160,1353,2643,7976.23,2023-01-13 06:12:00,1,Amex,New York,Online Shopping,24,Purchase at Merchant-2643
161,1648,2277,5152.56,2023-10-22 05:48:00,0,Discover,Los Angeles,Restaurant,32,Purchase at Merchant-2277
162,1744,2945,7533.53,2023-05-27 03:42:00,0,Visa,Los Angeles,Grocery Store,74,Purchase at Merchant-2945
163,1988,2418,5349.55,2023-12-08 12:47:00,0,Discover,Chicago,Gas Station,33,Purchase at Merchant-2418
164,1030,2092,6169.37,2023-03-14 15:19:00,0,Discover,Chicago,Grocery Store,59,Purchase at Merchant-2092
165,1826,2480,8329.97,2023-04-09 22:04:00,0,MasterCard,Los Angeles,Online Shopping,44,Purchase at Merchant-2480
166,1964,2278,263.99,2023-12-08 07:24:00,1,MasterCard,New York,Restaurant,34,Purchase at Merchant-2278
167,1437,2329,4217.55,2023-07-28 06:06:00,0,Amex,Boston,Grocery Store,44,Purchase at Merchant-2329
168,1130,2659,8962.92,2023-09-03 19:20:00,0,Amex,New York,Pharmacy,62,Purchase at Merchant-2659
169,1115,2927,3791.29,2023-08-16 18:22:00,0,MasterCard,San Francisco,Pharmacy,47,Purchase at Merchant-2927
170,1607,2058,1159.78,2023-05-25 07:02:00,0,Discover,San Francisco,Pharmacy,35,Purchase at Merchant-2058
171,1516,2420,8192.21,2023-04-16 10:49:00,0,Amex,Chicago,Grocery Store,29,Purchase at Merchant-2420
172,1986,2340,6456.77,2023-01-25 14:09:00,0,MasterCard,San Francisco,Online Shopping,37,Purchase at Merchant-2340
173,1994,2903,6842.74,2023-01-20 12:02:00,0,Visa,New York,Pharmacy,35,Purchase at Merchant-2903
174,1684,2067,681.43,2023-08-24 22:37:00,0,Discover,Chicago,Gas Station,57,Purchase at Merchant-2067
175,1139,2398,8806.47,2023-10-22 06:46:00,0,Visa,Boston,Gas Station,45,Purchase at Merchant-2398
176,1471,2875,9688.24,2023-12-31 18:47:00,0,Amex,Chicago,Gas Station,54,Purchase at Merchant-2875
177,1984,2704,6427.31,2023-09-17 03:40:00,0,MasterCard,San Francisco,Grocery Store,59,Purchase at Merchant-2704
178,1589,2205,8806.17,2023-05-26 10:25:00,0,MasterCard,New York,Pharmacy,21,Purchase at Merchant-2205
179,1985,2136,1480.12,2023-09-12 03:07:00,0,Discover,San Francisco,Restaurant,62,Purchase at Merchant-2136
180,1328,2818,249.67,2023-01-16 19:30:00,0,Visa,San Francisco,Pharmacy,71,Purchase at Merchant-2818
181,1665,2984,6272.44,2023-07-12 03:35:00,0,Discover,Chicago,Online Shopping,41,Purchase at Merchant-2984
182,1081,2567,4355.22,2023-08-28 23:12:00,0,Visa,New York,Grocery Store,20,Purchase at Merchant-2567
183,1986,2829,2006.32,2023-10-31 04:02:00,0,Visa,New York,Online Shopping,23,Purchase at Merchant-2829
184,1465,2381,8092.09,2023-01-19 04:28:00,0,Discover,Chicago,Pharmacy,58,Purchase at Merchant-2381
185,1947,2635,8859.35,2023-12-18 13:12:00,0,Amex,Los Angeles,Gas Station,55,Purchase at Merchant-2635
186,1531,2517,2295.31,2023-10-20 20:45:00,0,Amex,San Francisco,Online Shopping,37,Purchase at Merchant-2517
187,1438,2904,5608.47,2023-11-16 19:59:00,0,Discover,Los Angeles,Grocery Store,52,Purchase at Merchant-2904
188,1377,2791,3562.13,2023-02-04 13:52:00,0,Discover,Boston,Gas Station,53,Purchase at Merchant-2791
189,1470,2322,3435.66,2023-04-17 14:01:00,0,Visa,Boston,Online Shopping,36,Purchase at Merchant-2322
190,1137,2132,7747.07,2023-09-13 05:09:00,0,Amex,Boston,Grocery Store,61,Purchase at Merchant-2132
191,1415,2580,8661.99,2023-05-15 02:39:00,0,Amex,New York,Grocery Store,73,Purchase at Merchant-2580
192,1415,2543,9285.7,2023-02-03 07:24:00,0,Discover,Boston,Grocery Store,65,Purchase at Merchant-2543
193,1557,2973,7137.09,2023-07-30 10:28:00,0,Discover,San Francisco,Online Shopping,30,Purchase at Merchant-2973
194,1750,2664,2103.91,2023-08-15 14:10:00,0,Visa,Los Angeles,Grocery Store,43,Purchase at Merchant-2664
195,1035,2536,2150.61,2023-06-27 08:05:00,0,Amex,Chicago,Grocery Store,74,Purchase at Merchant-2536
196,1521,2182,6856.66,2023-06-02 09:09:00,0,Visa,Los Angeles,Gas Station,20,Purchase at Merchant-2182
197,1458,2122,5009.13,2023-03-01 03:47:00,0,Discover,San Francisco,Grocery Store,44,Purchase at Merchant-2122
198,1752,2625,812.01,2023-07-24 16:59:00,0,Visa,San Francisco,Pharmacy,25,Purchase at Merchant-2625
199,1983,2685,7916.86,2023-08-09 17:20:00,0,Visa,Boston,Gas Station,64,Purchase at Merchant-2685
200,1410,2860,7626.6,2023-04-05 19:38:00,1,Discover,New York,Online Shopping,28,Purchase at Merchant-2860
201,1972,2866,7553.49,2023-05-26 10:11:00,0,Amex,Los Angeles,Grocery Store,31,Purchase at Merchant-2866
202,1076,2013,7673.68,2023-05-24 23:38:00,0,Amex,Los Angeles,Online Shopping,29,Purchase at Merchant-2013
203,1087,2267,2038.0,2023-06-01 17:56:00,0,Discover,Los Angeles,Grocery Store,18,Purchase at Merchant-2267
204,1027,2652,2895.01,2023-06-06 04:35:00,0,MasterCard,Los Angeles,Gas Station,33,Purchase at Merchant-2652
205,1803,2568,4601.11,2023-02-22 16:27:00,0,Visa,Chicago,Restaurant,48,Purchase at Merchant-2568
206,1836,2200,6170.57,2023-03-12 10:56:00,0,Discover,Chicago,Restaurant,32,Purchase at Merchant-2200
207,1808,2656,5961.46,2023-12-29 04:51:00,0,Discover,New York,Restaurant,66,Purchase at Merchant-2656
208,1598,2399,1723.65,2023-12-23 18:29:00,0,Amex,Boston,Restaurant,33,Purchase at Merchant-2399
209,1643,2466,98.93,2023-09-06 08:11:00,0,Discover,Boston,Restaurant,24,Purchase at Merchant-2466
210,1240,2373,9886.75,2023-09-30 15:05:00,0,Visa,San Francisco,Pharmacy,57,Purchase at Merchant-2373
211,1662,2069,2637.09,2023-01-22 02:32:00,0,MasterCard,Los Angeles,Online Shopping,56,Purchase at Merchant-2069
212,1207,2115,6541.3,2023-09-16 23:45:00,0,Amex,New York,Online Shopping,41,Purchase at Merchant-2115
213,1253,2059,925.02,2023-06-11 06:40:00,0,MasterCard,Los Angeles,Pharmacy,19,Purchase at Merchant-2059
214,1825,2761,4461.79,2023-04-13 21:18:00,0,MasterCard,San Francisco,Restaurant,75,Purchase at Merchant-2761
215,1113,2951,4993.31,2023-07-15 22:46:00,0,Amex,San Francisco,Pharmacy,65,Purchase at Merchant-2951
216,1983,2464,3739.49,2023-05-10 16:40:00,0,Amex,Los Angeles,Restaurant,49,Purchase at Merchant-2464
217,1113,2925,4365.23,2023-08-09 00:28:00,0,Discover,San Francisco,Gas Station,26,Purchase at Merchant-2925
218,1185,2234,3451.8,2023-08-09 23:50:00,0,Visa,New York,Restaurant,51,Purchase at Merchant-2234
219,1090,2851,6081.87,2023-06-04 01:02:00,0,Visa,Boston,Grocery Store,25,Purchase at Merchant-2851
220,1261,2221,2237.06,2023-09-04 02:19:00,0,Visa,Los Angeles,Restaurant,22,Purchase at Merchant-2221
221,1569,2385,3221.65,2023-03-24 21:47:00,0,MasterCard,San Francisco,Gas Station,58,Purchase at Merchant-2385
222,1884,2723,4968.72,2023-03-31 04:12:00,0,Visa,San Francisco,Pharmacy,67,Purchase at Merchant-2723
223,1030,2611,4921.44,2023-08-30 19:07:00,0,MasterCard,New York,Online Shopping,49,Purchase at Merchant-2611
224,1016,2981,2484.84,2023-07-04 13:32:00,0,Discover,Chicago,Grocery Store,64,Purchase at Merchant-2981
225,1024,2406,2310.2,2023-03-10 01:37:00,0,MasterCard,San Francisco,Restaurant,73,Purchase at Merchant-2406
226,1079,3000,726.57,2023-02-09 08:37:00,0,Visa,New York,Grocery Store,67,Purchase at Merchant-3000
227,1465,2410,8179.58,2023-09-01 19:27:00,0,MasterCard,Los Angeles,Restaurant,44,Purchase at Merchant-2410
228,1261,2739,7556.02,2023-01-20 01:14:00,0,Amex,Los Angeles,Restaurant,70,Purchase at Merchant-2739
229,1923,2389,4815.73,2023-01-22 09:57:00,0,Discover,Boston,Pharmacy,52,Purchase at Merchant-2389
230,1542,2853,787.78,2023-08-09 22:29:00,0,Discover,Boston,Gas Station,36,Purchase at Merchant-2853
231,1449,2765,7206.82,2023-01-01 00:05:00,0,Amex,San Francisco,Online Shopping,38,Purchase at Merchant-2765
232,1839,2066,7768.15,2023-09-04 10:48:00,0,Visa,Chicago,Gas Station,39,Purchase at Merchant-2066
233,1858,2914,9845.3,2023-03-18 23:05:00,0,Amex,San Francisco,Pharmacy,34,Purchase at Merchant-2914
234,1286,2393,1305.0,2023-02-18 14:27:00,0,Visa,Boston,Pharmacy,50,Purchase at Merchant-2393
235,1833,2693,7725.91,2023-04-27 19:21:00,0,Discover,San Francisco,Online Shopping,65,Purchase at Merchant-2693
